# Starter watchlist -- a smoke-test seed, NOT a curated dataset.
# Replace this with a proper import from CPED (Chinese Political Elite Database)
# or Wikidata before the numbers mean anything; see README.
# tier: 1 = Politburo and above, 2 = Central Committee full member,
#       3 = alternate member / full-ministerial, 4 = vice-ministerial and below
name_zh,name_pinyin,tier,note
习近平,Xi Jinping,1,General Secretary
李强,Li Qiang,1,Premier
赵乐际,Zhao Leji,1,NPC Standing Committee Chairman
王沪宁,Wang Huning,1,CPPCC Chairman
蔡奇,Cai Qi,1,Secretariat
丁薛祥,Ding Xuexiang,1,Executive Vice Premier
李希,Li Xi,1,CCDI Secretary
王毅,Wang Yi,1,Foreign Minister
何立峰,He Lifeng,1,Vice Premier
陈文清,Chen Wenqing,1,Political and Legal Affairs Commission
秦刚,Qin Gang,2,Former Foreign Minister -- removed 2023
李尚福,Li Shangfu,2,Former Defence Minister -- removed 2023
唐仁健,Tang Renjian,3,Former Agriculture Minister -- investigated 2024
李晓鹏,Li Xiaopeng,4,Former Everbright Group chairman -- expelled
